1331135	北京	北京
1331136	北京	北京
1331137	北京	北京
1331138	北京	北京
1331139	北京	北京
1331140	北京	北京
1331141	北京	北京
1331142	北京	北京
1331143	北京	北京
1331144	北京	北京
1331145	北京	北京
1331146	北京	北京
1331147	北京	北京
1331148	北京	北京
1331149	北京	北京
1331150	北京	北京
1331151	北京	北京
1331152	北京	北京
1331153	北京	北京
1331154	北京	北京
1331155	北京	北京
1331156	北京	北京
1331157	北京	北京
1331158	北京	北京
1331159	北京	北京
1331160	上海	上海
1331161	上海	上海
1331162	上海	上海
1331163	上海	上海
1331164	上海	上海
1331165	上海	上海
1331166	上海	上海
1331167	上海	上海
1331168	上海	上海
1331169	上海	上海
1331170	上海	上海
1331171	上海	上海
1331172	上海	上海
1331173	上海	上海
1331174	上海	上海
1331175	上海	上海
1331176	上海	上海
1331177	上海	上海
1331178	上海	上海
1331179	上海	上海
1331180	上海	上海
1331181	上海	上海
1331182	上海	上海
1331183	上海	上海
1331184	上海	上海
1331185	上海	上海
1331186	上海	上海
1331187	上海	上海
1331188	上海	上海
1331189	上海	上海
1331190	上海	上海
1331191	上海	上海
1331192	上海	上海
1331193	上海	上海
1331194	上海	上海
1331195	上海	上海
1331196	上海	上海
1331197	上海	上海
1331198	上海	上海
1331199	上海	上海
1331200	天津	天津
1331201	天津	天津
1331202	天津	天津
1331203	天津	天津
1331204	天津	天津
1331205	天津	天津
1331206	天津	天津
1331207	天津	天津
1331208	天津	天津
1331209	天津	天津
1331210	天津	天津
1331211	天津	天津
1331212	天津	天津
1331213	天津	天津
1331214	天津	天津
1331215	天津	天津
1331216	天津	天津
1331217	天津	天津
1331218	天津	天津
1331219	天津	天津
1331220	贵州	贵阳
1331221	贵州	贵阳
1331222	贵州	贵阳
1331223	贵州	贵阳
1331224	贵州	贵阳
1331225	贵州	贵阳
1331226	贵州	贵阳
1331227	贵州	贵阳
1331228	贵州	贵阳
1331229	贵州	兴义
1331230	贵州	遵义
1331231	贵州	遵义
1331232	贵州	遵义
1331233	贵州	遵义
1331234	贵州	遵义
1331235	贵州	遵义
1331236	贵州	都匀
1331237	贵州	都匀
1331238	贵州	都匀
1331239	贵州	六盘水
1331240	贵州	安顺
1331241	贵州	安顺
1331242	贵州	凯里
1331243	贵州	凯里
1331244	贵州	凯里
1331245	贵州	铜仁
1331246	贵州	六盘水
1331247	贵州	毕节
1331248	贵州	毕节
1331249	贵州	兴义
1331250	云南	昆明
1331251	云南	昆明
1331252	云南	昆明
1331253	云南	昆明
